번호,업태구분,사업장명,인허가일자,전화번호,도로명주소,지번주소,위도,경도,소재지면적,다중이용업소여부
26,기타 휴게음식점,이삭(전주대점),2004-02-11,063-227-9329,전북특별자치도 전주시 완산구 백마산길 6 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1167-1 ,,,39,N
27,기타 휴게음식점,이마트전주점김초밥,2004-04-29,,전북특별자치도 전주시 완산구 당산로 111 (서신동),전북특별자치도 전주시 완산구 서신동 767 ,,,99.05,N
28,기타 휴게음식점,이마트전주점조림국나물,2004-04-29,063-259-1052,전북특별자치도 전주시 완산구 당산로 111 (서신동),전북특별자치도 전주시 완산구 서신동 767 ,,,98.21,N
29,기타 휴게음식점,이마트전주점분식,2004-04-29,,전북특별자치도 전주시 완산구 당산로 111 (서신동),전북특별자치도 전주시 완산구 서신동 767 ,,,67.78,N
30,기타 휴게음식점,이마트전주점샐러드,2004-04-29,,전북특별자치도 전주시 완산구 당산로 111 (서신동),전북특별자치도 전주시 완산구 서신동 767 ,,,95.45,N
31,기타 휴게음식점,지정환피자 삼천효자점,2004-04-30,063-236-3666,"전북특별자치도 전주시 완산구 거마평로 50 (삼천동1가, 1층)",전북특별자치도 전주시 완산구 삼천동1가 608-3 1층 ,,,51.6,N
32,기타 휴게음식점,나드리마트분식,2004-05-17,063-221-2914,전북특별자치도 전주시 완산구 거마평로 236 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 37-47 ,,,6.4,N
33,기타 휴게음식점,컬러인커피앤아뜰리에,2004-07-13,063-226-2744,전북특별자치도 전주시 완산구 화산천변1길 8 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 761-6 ,,,119.4,Y
34,기타 휴게음식점,본죽앤비빔밥카페 롯데점,2004-07-13,063-275-3657,"전북특별자치도 전주시 완산구 온고을로 30-18, 102호 (서신동)",전북특별자치도 전주시 완산구 서신동 969-7 ,,,98.4,N
35,기타 휴게음식점,행복한쿠키,2004-10-25,063-903-8020,전북특별자치도 전주시 완산구 서곡6길 22 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1422-6 ,,,12.58,N
36,기타 휴게음식점,커피자(CUPIZZA)평화점,2004-10-26,063-236-8558,전북특별자치도 전주시 완산구 소대배기로 26-16 (평화동2가),전북특별자치도 전주시 완산구 평화동2가 893-3 ,,,16.97,N
37,기타 휴게음식점,전통죽집,2004-04-26,,전북특별자치도 전주시 완산구 태조로 43 (교동),전북특별자치도 전주시 완산구 교동 277 ,,,22.91,N
38,기타 휴게음식점,레드망고(객사점),2006-05-18,,전북특별자치도 전주시 완산구 팔달로 191-5 (고사동),전북특별자치도 전주시 완산구 고사동 72-4 ,,,95.76,N
39,기타 휴게음식점,피카소분식,2006-07-31,,전북특별자치도 전주시 완산구 고사평8길 10 (서신동),전북특별자치도 전주시 완산구 서신동 928-2 ,,,7.8,N
40,기타 휴게음식점,평화마트내김밥코너,2006-08-02,063-222-8885,"전북특별자치도 전주시 완산구 덕적골1길 26 (평화동1가,외3필지)",전북특별자치도 전주시 완산구 평화동1가 528-1 외3필지 ,,,11.1,N
41,기타 휴게음식점,감탄떡볶이 삼천점,2006-08-04,063-227-8311,"전북특별자치도 전주시 완산구 거마평로 11 (삼천동1가,상가103호)",전북특별자치도 전주시 완산구 삼천동1가 767-2 상가103호 ,,,21.6,N
42,기타 휴게음식점,베스킨라빈스전주중화산점,2008-11-21,063-253-3030,전북특별자치도 전주시 완산구 유연로 281 (서신동),전북특별자치도 전주시 완산구 서신동 857 ,,,106.22,N
43,기타 휴게음식점,화덕의아침 본점,2008-12-09,,전북특별자치도 전주시 완산구 온고을로 100 (서신동),전북특별자치도 전주시 완산구 서신동 959-3 ,,,112.32,N
44,기타 휴게음식점,케이시 원조 김밥천국,2009-05-08,063-227-9727,전북특별자치도 전주시 완산구 서신로 111 (서신동),전북특별자치도 전주시 완산구 서신동 963-2 ,,,85.14,N
45,기타 휴게음식점,뽀빠이상추튀김,2009-05-12,063-223-0042,전북특별자치도 전주시 완산구 평화18길 23-8 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 729-5 ,,,27.38,N
46,기타 휴게음식점,배스킨라빈스 전주서부신시가지점,2011-02-21,,"전북특별자치도 전주시 완산구 호암로 91, 1층 104호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1316-4 ,,,83.2,N
47,기타 휴게음식점,상상노리 전주효자점,2011-08-08,02-576-5167,"전북특별자치도 전주시 완산구 용머리로 31, 지하2층 (효자동1가, 외14필지 홈플러스전주효자점)",전북특별자치도 전주시 완산구 효자동1가 431-5 ,,,32.33,N
48,기타 휴게음식점,씨유 전주서신2호점,2012-06-22,063-273-8447,전북특별자치도 전주시 완산구 서신로 51 (서신동),전북특별자치도 전주시 완산구 서신동 815 ,,,6.2,N
49,기타 휴게음식점,피자써클 평화점,2012-07-16,,전북특별자치도 전주시 완산구 덕적골1길 31-3 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 471-1 106호,,,45.15,N
50,기타 휴게음식점,다인,2012-08-17,,전북특별자치도 전주시 완산구 용호로 101 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1730-7 ,,,93.53,N
51,기타 휴게음식점,족발의반란,2012-11-05,,전북특별자치도 전주시 완산구 척동8길 9-3 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1635-8 ,,,38.73,N
52,기타 휴게음식점,꿀보다닭강정,2012-11-26,063-225-9256,전북특별자치도 전주시 완산구 거마평로 125 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 652 상산타운 아파트 상가 3동 115호 ,,,34.58,N
53,기타 휴게음식점,우리들매점,2013-04-15,,전북특별자치도 전주시 완산구 쑥고개로 398-16 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 238-3 ,,,16.62,N
54,기타 휴게음식점,커피마루,2013-05-01,,전북특별자치도 전주시 완산구 태평3길 70 (태평동),전북특별자치도 전주시 완산구 태평동 37-1 13호,,,6.67,N
55,기타 휴게음식점,씨유전주효자혜성점,2013-06-07,,전북특별자치도 전주시 완산구 홍산남로 29-7 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1238-8 ,,,1.87,N
56,기타 휴게음식점,아기수라상,2013-06-11,,"전북특별자치도 전주시 완산구 봉곡3길 34, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1254-2 ,,,66.73,N
57,기타 휴게음식점,와플란다스,2013-09-11,,전북특별자치도 전주시 완산구 송정2길 25 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 593-1 ,,,17.14,N
58,기타 휴게음식점,대야순대,2013-10-10,,전북특별자치도 전주시 완산구 황강서원로 11 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1596-1 ,,,128.21,Y
59,기타 휴게음식점,밥스터,2013-11-19,,전북특별자치도 전주시 완산구 마전로 11 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1645-5 ,,,139.25,N
60,기타 휴게음식점,유한회사 다우랑푸드,2013-10-01,,전북특별자치도 전주시 완산구 태조로 33 (교동),전북특별자치도 전주시 완산구 교동 269-2 ,,,40.17,N
61,기타 휴게음식점,설빙(서신점),2014-04-30,,전북특별자치도 전주시 완산구 당산로 114 (서신동),전북특별자치도 전주시 완산구 서신동 784-1 ,,,155.64,Y
62,기타 휴게음식점,치코파닭효자점,2014-05-02,063-272-9991,전북특별자치도 전주시 완산구 서신천변7길 16-5 (서신동),전북특별자치도 전주시 완산구 서신동 822-2 ,,,25.52,N
63,기타 휴게음식점,설빙 전주평화점,2014-05-20,063-221-1751,"전북특별자치도 전주시 완산구 소대배기로 32, 2층 202호 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 894-2 202호,,,177.13,Y
64,기타 휴게음식점,문학분식,2014-05-22,063-229-1964,전북특별자치도 전주시 완산구 문학대4길 2 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1624-1 ,,,43.14,N
65,기타 휴게음식점,원조김밥천국,2014-06-02,,전북특별자치도 전주시 완산구 서곡로 75 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1435-2 ,,,47.81,N
66,기타 휴게음식점,엄마김밥,2014-06-30,063-902-5253,"전북특별자치도 전주시 완산구 효동3길 33, 1층 101호 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 98 101호,,,38.03,N
67,기타 휴게음식점,피씨까페넥스(PC CAFE NEX) 삼천,2014-07-07,,전북특별자치도 전주시 완산구 용리로 30 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 284-32 ,,,18,N
68,기타 휴게음식점,카페안녕(cafe안녕),2014-07-07,063-251-7200,전북특별자치도 전주시 완산구 서원로 63 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1240-10 ,,,59,N
69,기타 휴게음식점,카페때알,2014-07-15,,전북특별자치도 전주시 완산구 전주객사3길 26-16 (고사동),전북특별자치도 전주시 완산구 고사동 426-2 ,,,57,N
70,기타 휴게음식점,별카페,2014-07-22,063-221-3449,전북특별자치도 전주시 완산구 홍산로 111 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1325 ,,,122.32,N
71,기타 휴게음식점,수목원카페,2014-07-23,,"전북특별자치도 전주시 완산구 한두평3길 13, 2층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 659 ,,,19.8,N
72,기타 휴게음식점,명동할머니국수,2014-08-26,,전북특별자치도 전주시 완산구 용머리로 45 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 434 ,,,44.95,N
73,기타 휴게음식점,앤티앤스효자점,2014-08-26,063-224-5567,전북특별자치도 전주시 완산구 용머리로 45 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 434 ,,,18.72,N
74,기타 휴게음식점,꼬꼬마분식,2014-09-04,063-287-1660,전북특별자치도 전주시 완산구 따박골6길 38 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 46-76 ,,,32.76,N
75,기타 휴게음식점,고봉민김밥人(서신점),2014-09-04,,"전북특별자치도 전주시 완산구 당산로 27, 서신신일아파트 상가 115동 114호 (서신동)",전북특별자치도 전주시 완산구 서신동 763-1 서신신일아파트 상가 115동 114호,,,49.5,N
76,기타 휴게음식점,만두자랑,2014-09-17,,전북특별자치도 전주시 완산구 거마평로 195 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 369-11 ,,,9.45,N
77,기타 휴게음식점,세븐일레븐 전주웨스턴점,2014-09-30,,"전북특별자치도 전주시 완산구 홍산중앙로 45, 106호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1527-11 ,,,4.2,N
78,기타 휴게음식점,신해성휴계실,2014-09-30,,전북특별자치도 전주시 완산구 계룡산길 88-7 (삼천동2가),전북특별자치도 전주시 완산구 삼천동2가 559 ,,,14.85,N
79,기타 휴게음식점,할리스커피(전주시네마점),2014-10-20,,전북특별자치도 전주시 완산구 전주객사3길 67 (고사동),전북특별자치도 전주시 완산구 고사동 340-3 ,,,54.6,N
80,기타 휴게음식점,장군김밥,2014-10-22,063-236-7642,전북특별자치도 전주시 완산구 문학대4길 12 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1622-2 ,,,57.12,N
81,기타 휴게음식점,향차이나,2014-10-23,,전북특별자치도 전주시 완산구 척동4길 8 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1665-1 ,,,66.4,N
82,기타 휴게음식점,파오파오,2014-10-31,063-221-9198,전북특별자치도 전주시 완산구 거마평로 170 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 388 ,,,44.5,N
83,기타 휴게음식점,용우동전주삼천점,2014-11-04,063-221-1300,전북특별자치도 전주시 완산구 장승배기로 62-4 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 271-3 ,,,24.96,N
84,기타 휴게음식점,피자써클서신점,2014-11-19,,전북특별자치도 전주시 완산구 당산로 34-3 (서신동),전북특별자치도 전주시 완산구 서신동 798-18 ,,,26.65,N
85,기타 휴게음식점,불짱족발,2014-11-20,,전북특별자치도 전주시 완산구 풍남문2길 65 (전동3가),전북특별자치도 전주시 완산구 전동3가 2-244 ,,,0,N
86,기타 휴게음식점,유난희 김밥,2014-12-01,,전북특별자치도 전주시 완산구 봉곡1길 4-6 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1734-3 ,,,28.12,N
87,기타 휴게음식점,마루김밥(서부신시가점),2015-01-16,063-226-2955,"전북특별자치도 전주시 완산구 홍산남로 29-7, 1동 105호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1238-8 1동 105호,,,57.75,N
88,기타 휴게음식점,신니하오,2015-01-22,,전북특별자치도 전주시 완산구 봉곡1길 4 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1734-1 ,,,120.75,N
89,기타 휴게음식점,미스터콩,2015-01-28,063-224-5600,전북특별자치도 전주시 완산구 평화18길 24-8 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 721-1 ,,,272.7,Y
90,기타 휴게음식점,오가네만두찐빵,2015-01-29,063-251-4743,"전북특별자치도 전주시 완산구 서신로 102-1, 상가동 110호 (서신동, 광진선수촌아파트)",전북특별자치도 전주시 완산구 서신동 965-2 ,,,40.5,N
91,기타 휴게음식점,점핑스쿨,2015-02-02,063-901-7779,"전북특별자치도 전주시 완산구 서원로 310, 4층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 31-4 ,,,10.4,N
92,기타 휴게음식점,게이트푸드,2015-02-17,,"전북특별자치도 전주시 완산구 백마산길 23, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1183-11 ,,,5.8,N
93,기타 휴게음식점,렌탈카,2015-02-17,,전북특별자치도 전주시 완산구 경기전길 146 (교동),전북특별자치도 전주시 완산구 교동 260-12 ,,,11.28,N
94,기타 휴게음식점,두마리찜닭두찜 전주효자점,2015-04-15,,"전북특별자치도 전주시 완산구 우전2길 71-23, 1층일부층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1328-1 ,,,53.57,N
95,기타 휴게음식점,코리아찜질방식당,2015-05-14,,전북특별자치도 전주시 완산구 서신천변로 58 (서신동),전북특별자치도 전주시 완산구 서신동 803-1 ,,,10.8,N
96,기타 휴게음식점,크리스피크림도넛 전주평화점,2015-05-21,,전북특별자치도 전주시 완산구 모악로 4747 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 706-5 ,,,87.75,N
97,기타 휴게음식점,제이비블루 풍남문지점,2015-05-27,063-250-7933,"전북특별자치도 전주시 완산구 풍남문2길 5, 2층 (전동)",전북특별자치도 전주시 완산구 전동 186-2 전북은행 ,,,11.48,N
98,기타 휴게음식점,줄리앤소피,2015-05-29,070-8633-5117,전북특별자치도 전주시 완산구 인정로 8 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 584-7 ,,,137.23,N
99,기타 휴게음식점,마디따,2015-06-18,,전북특별자치도 전주시 완산구 봉곡4길 6 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1729-9 ,,,48.03,N
100,기타 휴게음식점,더벤티 전주평화점,2015-06-18,063-221-0811,전북특별자치도 전주시 완산구 소대배기로 11 (평화동2가),전북특별자치도 전주시 완산구 평화동2가 339-7 ,,,58.37,N
101,기타 휴게음식점,아젤리아박물관점,2015-06-23,,전북특별자치도 전주시 완산구 쑥고개로 317 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1214-5 ,,,60.8,N
102,기타 휴게음식점,맘앤타르트,2015-06-26,,전북특별자치도 전주시 완산구 전동성당길 100 (전동),전북특별자치도 전주시 완산구 전동 63 ,,,96.48,N
103,기타 휴게음식점,한옥커피,2015-06-30,,전북특별자치도 전주시 완산구 풍남문2길 64 (전동3가),전북특별자치도 전주시 완산구 전동3가 19-1 ,,,76.65,N
104,기타 휴게음식점,인앤인하우스,2015-07-17,,전북특별자치도 전주시 완산구 서곡1길 23-8 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1447-4 ,,,89.55,N
105,기타 휴게음식점,빽다방 전주서신롯데점,2015-08-17,,"전북특별자치도 전주시 완산구 새터로 122-23, 1층 (서신동)",전북특별자치도 전주시 완산구 서신동 969-9 ,,,84.99,N
106,기타 휴게음식점,이디야 전동점,2015-09-17,,전북특별자치도 전주시 완산구 팔달로 130-1 (전동),전북특별자치도 전주시 완산구 전동 65-1 ,,,103.97,N
107,기타 휴게음식점,책이랑펜시랑,2015-10-06,,전북특별자치도 전주시 완산구 우전2길 23-2 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 177-1 ,,,3.06,N
108,기타 휴게음식점,엠씨(MC)마켓앤(&)붕어의꿈,2015-11-17,,"전북특별자치도 전주시 완산구 서원로 325, 104호 (중화산동1가)",전북특별자치도 전주시 완산구 중화산동1가 252-11 ,,,32,N
109,기타 휴게음식점,얌스 효자삼호점,2015-11-20,063-904-3224,전북특별자치도 전주시 완산구 거마평로 203 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 370-1 ,,,42.75,N
110,기타 휴게음식점,가인김밥,2015-11-26,063-252-7789,전북특별자치도 전주시 완산구 태평3길 70 (태평동),전북특별자치도 전주시 완산구 태평동 36-1 중앙상가 1층 75호 일부 ,,,12.76,N
111,기타 휴게음식점,노벨밥상,2015-11-27,,전북특별자치도 전주시 완산구 봉곡1길 34 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1250-1 ,,,56.26,N
112,기타 휴게음식점,효자튀김떡볶이,2015-12-03,,"전북특별자치도 전주시 완산구 거마평로 118, 1층일부층 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 579-3 ,,,18.5,N
113,기타 휴게음식점,킹왕짱피시방,2015-12-14,,"전북특별자치도 전주시 완산구 모악로 4689, 4층 (평화동2가, 우미빌딩)",전북특별자치도 전주시 완산구 평화동2가 312-5 ,,,6.6,N
114,기타 휴게음식점,빠라미(parami),2015-05-12,,"전북특별자치도 전주시 완산구 공북로 88-1, 1층 (태평동)",전북특별자치도 전주시 완산구 태평동 8-73 ,,,13.97,N
115,기타 휴게음식점,정갈한솜씨,2015-05-29,,전북특별자치도 전주시 완산구 은행로 63 (교동),전북특별자치도 전주시 완산구 교동 68-1 ,,,19.8,N
116,기타 휴게음식점,지에스25 전주세무서점,2016-01-14,,전북특별자치도 전주시 완산구 서곡5길 16 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1405-4 ,,,2.25,N
117,기타 휴게음식점,장손족발(전주효자점),2016-02-29,,"전북특별자치도 전주시 완산구 용머리로 31 (효자동1가, 지하2층)",전북특별자치도 전주시 완산구 효자동1가 431-5 ,,,9.51,N
118,기타 휴게음식점,(주)조이 서노송점,2016-03-02,063-278-8288,전북특별자치도 전주시 완산구 팔달로 272 (서노송동),전북특별자치도 전주시 완산구 서노송동 648-7 ,,,8.32,N
119,기타 휴게음식점,신전떡볶이 전주대신시가지점,2016-03-07,063-224-0212,"전북특별자치도 전주시 완산구 서원로 6, 1층 102호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1724-3 ,,,47.73,N
120,기타 휴게음식점,짱금이김밥,2016-03-09,,전북특별자치도 전주시 완산구 마전들로 19 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1669-4 ,,,50.6,N
121,기타 휴게음식점,피자뚝닭,2016-03-11,,전북특별자치도 전주시 완산구 공수내로 50 (서서학동),전북특별자치도 전주시 완산구 서서학동 11-2 ,,,22.88,N
122,기타 휴게음식점,킹왕짱,2016-03-16,,"전북특별자치도 전주시 완산구 마전2길 17-8 (효자동3가, 4층일부)",전북특별자치도 전주시 완산구 효자동3가 1643-5 ,,,6.25,N
123,기타 휴게음식점,장미호떡,2016-04-07,,전북특별자치도 전주시 완산구 경기전길 146 (교동),전북특별자치도 전주시 완산구 교동 260-12 ,,,9.68,N
124,기타 휴게음식점,로컬푸드와소풍,2016-04-27,063-253-5760,전북특별자치도 전주시 완산구 우전1길 40-33 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 163-1 ,,,45,N
125,기타 휴게음식점,드림카페,2016-05-23,063-228-1312,"전북특별자치도 전주시 완산구 맏내2길 9, 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 851-6 ,,,166.74,N
126,기타 휴게음식점,아이팝피씨,2016-05-26,,"전북특별자치도 전주시 완산구 중산중앙로 38 (중화산동2가, 2층일부)",전북특별자치도 전주시 완산구 중화산동2가 629-2 ,,,36,N
127,기타 휴게음식점,지에스25시편의점,2016-06-14,,"전북특별자치도 전주시 완산구 전라감영4길 1, 1층 (중앙동4가)",전북특별자치도 전주시 완산구 중앙동4가 16-3 ,,,5.28,N
128,기타 휴게음식점,더숲후레쉬,2016-06-15,,"전북특별자치도 전주시 완산구 흑석2길 22, 1층 (서서학동)",전북특별자치도 전주시 완산구 서서학동 1002-3 ,,,9.6,N
129,기타 휴게음식점,홍산김밥,2016-06-20,063-257-121,"전북특별자치도 전주시 완산구 마전들로 36, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1686-1 ,,,85.92,N
130,기타 휴게음식점,화이트피시,2016-06-20,,전북특별자치도 전주시 완산구 호암로 21 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1313-6 ,,,38.5,N
131,기타 휴게음식점,숲,2016-06-20,,전북특별자치도 전주시 완산구 효동2길 14-8 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 201-63 ,,,82.68,N
132,기타 휴게음식점,팀피씨,2016-06-21,,"전북특별자치도 전주시 완산구 평화9길 14 (평화동2가, 3층일부)",전북특별자치도 전주시 완산구 평화동2가 230-115 ,,,9,N
133,기타 휴게음식점,지에스25 효자효녀점,2016-06-21,,"전북특별자치도 전주시 완산구 안행5길 20, 1층 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 683-15 ,,,5,N
134,기타 휴게음식점,카페오늘,2016-06-23,,"전북특별자치도 전주시 완산구 노송여울1길 21, 1층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 632-5 ,,,39.83,N
135,기타 휴게음식점,하겐다즈 전주점,2016-06-28,,"전북특별자치도 전주시 완산구 홍산중앙로 26, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1536-8 ,,,56.84,N
136,기타 휴게음식점,레드하우스커피,2016-06-30,,"전북특별자치도 전주시 완산구 구룡2길 22, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1260-2 ,,,54.29,N
137,기타 휴게음식점,토끼풀제과점,2016-07-05,,전북특별자치도 전주시 완산구 물왕멀3길 29 (서노송동),전북특별자치도 전주시 완산구 서노송동 735-6 ,,,69.3,N
138,기타 휴게음식점,아이피시토랑 평화점,2016-07-08,,"전북특별자치도 전주시 완산구 평화18길 25-10, 2층 (평화동1가)",전북특별자치도 전주시 완산구 평화동1가 730-4 ,,,12,N
